날짜	매매지수
1998-12-31	20.5
1999-01-31	21.13
1999-02-28	21.22
1999-03-31	21.37
1999-04-30	21.48
1999-05-31	21.66
1999-06-30	21.81
1999-07-31	22.16
1999-08-31	22.66
1999-09-30	23.08
1999-10-31	23.06
1999-11-30	22.95
1999-12-31	23.06
2000-01-31	23.32
2000-02-29	23.67
2000-03-31	23.89
2000-04-30	23.89
2000-05-31	23.87
2000-06-30	23.87
2000-07-31	24.09
2000-08-31	24.22
2000-09-30	24.37
2000-10-31	24.5
2000-11-30	24.31
2000-12-31	24.02
2001-01-31	24.04
2001-02-28	24.33
2001-03-31	24.55
2001-04-30	24.81
2001-05-31	25.18
2001-06-30	25.73
2001-07-31	26.45
2001-08-31	27.46
2001-09-30	27.94
2001-10-31	27.98
2001-11-30	28.05
2001-12-31	28.66
2002-01-31	30.52
2002-02-28	31.86
2002-03-31	32.98
2002-04-30	33.28
2002-05-31	33.46
2002-06-30	33.72
2002-07-31	34.6
2002-08-31	35.91
2002-09-30	37.66
2002-10-31	37.69
2002-11-30	37.47
2002-12-31	37.49
2003-01-31	36.87
2003-02-28	36.98
2003-03-31	37.2
2003-04-30	37.9
2003-05-31	38.87
2003-06-30	39.22
2003-07-31	39.47
2003-08-31	39.94
2003-09-30	40.93
2003-10-31	41.95
2003-11-30	41.64
2003-12-31	41.3
2004-01-31	41.18
2004-02-29	41.46
2004-03-31	41.69
2004-04-30	42
2004-05-31	42.07
2004-06-30	41.97
2004-07-31	41.81
2004-08-31	41.56
2004-09-30	41.42
2004-10-31	41.26
2004-11-30	41.04
2004-12-31	40.88
2005-01-31	40.76
2005-02-28	41.19
2005-03-31	41.39
2005-04-30	41.88
2005-05-31	42.28
2005-06-30	43.21
2005-07-31	44.05
2005-08-31	44.25
2005-09-30	44.32
2005-10-31	44.25
2005-11-30	44.35
2005-12-31	44.6
2006-01-31	45.01
2006-02-28	45.51
2006-03-31	46.32
2006-04-30	47.37
2006-05-31	48.31
2006-06-30	48.62
2006-07-31	48.75
2006-08-31	48.88
2006-09-30	49.18
2006-10-31	50.26
2006-11-30	53.39
2006-12-31	55.35
2007-01-31	56.33
2007-02-28	56.5
2007-03-31	56.59
2007-04-30	56.59
2007-05-31	56.47
2007-06-30	56.5
2007-07-31	56.67
2007-08-31	56.79
2007-09-30	56.92
2007-10-31	57.06
2007-11-30	57.24
2007-12-31	57.32
2008-01-31	57.6
2008-02-29	57.91
2008-03-31	58.71
2008-04-30	59.87
2008-05-31	60.38
2008-06-30	60.69
2008-07-31	60.83
2008-08-31	60.83
2008-09-30	60.84
2008-10-31	60.66
2008-11-30	60.14
2008-12-31	59.16
2009-01-31	58.62
2009-02-28	58.52
2009-03-31	58.37
2009-04-30	58.57
2009-05-31	58.67
2009-06-30	58.97
2009-07-31	59.49
2009-08-31	59.79
2009-09-30	60.5
2009-10-31	60.71
2009-11-30	60.7
2009-12-31	60.68
2010-01-31	60.74
2010-02-28	60.9
2010-03-31	60.89
2010-04-30	60.78
2010-05-31	60.56
2010-06-30	60.22
2010-07-31	59.9
2010-08-31	59.63
2010-09-30	59.48
2010-10-31	59.37
2010-11-30	59.31
2010-12-31	59.35
2011-01-31	59.44
2011-02-28	59.62
2011-03-31	59.71
2011-04-30	59.71
2011-05-31	59.66
2011-06-30	59.59
2011-07-31	59.5
2011-08-31	59.43
2011-09-30	59.37
2011-10-31	59.29
2011-11-30	59.18
2011-12-31	59.09
2012-01-31	58.99
2012-02-29	58.91
2012-03-31	58.76
2012-04-30	58.51
2012-05-31	58.36
2012-06-30	58.18
2012-07-31	57.86
2012-08-31	57.59
2012-09-30	57.22
2012-10-31	56.87
2012-11-30	56.65
2012-12-31	56.44
2013-01-31	56.23
2013-02-28	56.08
2013-03-31	55.94
2013-04-30	55.87
2013-05-31	55.84
2013-06-30	55.72
2013-07-31	55.54
2013-08-31	55.38
2013-09-30	55.35
2013-10-31	55.4
2013-11-30	55.41
2013-12-31	55.41
2014-01-31	55.42
2014-02-28	55.49
2014-03-31	55.62
2014-04-30	55.67
2014-05-31	55.65
2014-06-30	55.6
2014-07-31	55.59
2014-08-31	55.61
2014-09-30	55.78
2014-10-31	55.94
2014-11-30	56
2014-12-31	56.01
2015-01-31	56.06
2015-02-28	56.17
2015-03-31	56.43
2015-04-30	56.74
2015-05-31	56.96
2015-06-30	57.24
2015-07-31	57.51
2015-08-31	57.83
2015-09-30	58.25
2015-10-31	58.54
2015-11-30	58.94
2015-12-31	59.12
2016-01-31	59.19
2016-02-29	59.28
2016-03-31	59.32
2016-04-30	59.39
2016-05-31	59.56
2016-06-30	59.79
2016-07-31	60.12
2016-08-31	60.46
2016-09-30	60.72
2016-10-31	61.16
2016-11-30	61.56
2016-12-31	61.62
2017-01-31	61.64
2017-02-28	61.66
2017-03-31	61.72
2017-04-30	61.81
2017-05-31	61.94
2017-06-30	62.47
2017-07-31	63.01
2017-08-31	63.67
2017-09-30	63.77
2017-10-31	64.05
2017-11-30	64.45
2017-12-31	64.87
2018-01-31	65.6
2018-02-28	66.25
2018-03-31	67.08
2018-04-30	67.62
2018-05-31	67.89
2018-06-30	68.16
2018-07-31	68.52
2018-08-31	69.32
2018-09-30	71.98
2018-10-31	73.3
2018-11-30	73.59
2018-12-31	73.67
2019-01-31	73.66
2019-02-28	73.59
2019-03-31	73.47
2019-04-30	73.36
2019-05-31	73.32
2019-06-30	73.26
2019-07-31	73.53
2019-08-31	73.83
2019-09-30	74.16
2019-10-31	74.59
2019-11-30	75.01
2019-12-31	75.81
2020-01-31	76.31
2020-02-29	76.71
2020-03-31	77.27
2020-04-30	77.39
2020-05-31	77.39
2020-06-30	77.79
2020-07-31	79.45
2020-08-31	81.08
2020-09-30	82.7
2020-10-31	83.32
2020-11-30	84.6
2020-12-31	85.71
2021-01-31	87.09
2021-02-28	88.48
2021-03-31	89.66
2021-04-30	90.51
2021-05-31	91.42
2021-06-30	92.94
2021-07-31	94.13
2021-08-31	95.63
2021-09-30	97.25
2021-10-31	98.27
2021-11-30	99.31
2021-12-31	99.77
2022-01-31	100
2022-02-28	100.09
2022-03-31	100.15
2022-04-30	100.26
2022-05-31	100.47
2022-06-30	100.6
2022-07-31	100.64
2022-08-31	100.49
2022-09-30	100.3
2022-10-31	99.63
2022-11-30	98.22
2022-12-31	96.81
2023-01-31	94.78
2023-02-28	93.65
2023-03-31	92.55
2023-04-30	91.66
2023-05-31	90.85
2023-06-30	90.6
2023-07-31	90.39
2023-08-31	90.34
2023-09-30	90.58
2023-10-31	90.79
2023-11-30	90.82
2023-12-31	90.73
2024-01-31	90.55
2024-02-29	90.44
2024-03-31	90.31
2024-04-30	90.16
2024-05-31	90.13
2024-06-30	90.24
